,达人,粉丝数,销售额,销售量,商品数,观看人次,人次峰值,地区
13405,青儿小屋服装店,541571,45796.0,507,29,56235,817,江西省
13406,温工说装修🏅,264160,45722.5,404,38,5486,63,江西省
13407,景德镇简家陶瓷工坊,87425,45650.82,845,166,20187,618,江西省
13408,昊峰陶瓷（胖）,18536,45469.5,82,47,7197,400,江西省
13409,占少说瓷,157757,45455.0,63,137,12546,205,江西省
13410,家有翻菜男,1419868,45280.96,1948,36,85395,4148,江西省
13411,陈三妹,203958,45186.52,1444,92,22360,942,江西省
13412,黄大叔夫妇,260623,45181.81,1977,78,60394,547,江西省
13413,依馨蓉服饰店,203169,44946.0,610,49,89674,148,江西省
13414,瓷都大缸,48207,44762.98,382,87,17421,683,江西省
13415,义季服装店,137412,44663.0,285,17,30741,98,江西省
13416,瓷都大缸,48207,44338.45,431,82,26393,1620,江西省
13417,小轩妈妈,740249,44182.85,887,23,58072,5621,江西省
13418,昊峰陶瓷（胖）,18536,44148.98,59,48,5546,360,江西省
13419,悦戎羊绒,149675,44069.6,117,65,22614,59,江西省
13420,青杉家具,4768,43857.27,24,5,10520,24,江西省
13421,江西老酒文化传播有限公司,20382,43802.01,87,21,7525,39,江西省
13422,骏惠Studio（男生饰品）,202070,43797.51,1414,102,10327,37,江西省
13423,大德瓷业,49006,43753.28,844,170,19536,1106,江西省
13424,大古家具严选,6559,43709.7,12,79,9573,160,江西省
13425,请叫我果哥,920282,43620.21,3949,19,26062,1335,江西省
13426,可可家居,215805,43603.48,1963,103,10476,26,江西省
13427,南康区诺贝家具营销中心,22846,43512.2,69,26,5839,14,江西省
13428,景德鎮苏藝堂陶瓷文化,16557,43455.0,60,76,5397,274,江西省
13429,家有翻菜男,1419868,43429.7,2198,24,98973,3545,江西省
13430,景德镇启励陶瓷有限公司,94885,43347.9,3385,267,15531,378,江西省
13431,江西、揭小姐【志萍】,67030,43220.39,1789,57,91903,926,江西省
13432,钱瑶陶瓷文化,23083,43138.0,274,149,6775,85,江西省
13433,在水一方,50994,43052.5,979,63,27235,169,江西省
13434,南昌沪祺数码,24403,42994.57,29,39,5842,112,江西省
13435,家有翻菜男,1419868,42988.71,1679,63,81968,2629,江西省
13436,吴先森服饰,24888,42804.6,866,63,23865,95,江西省
13437,恒捷（南昌一家人）,4488705,42736.02,818,46,53965,1003,江西省
13438,京广好物严选,4172686,42554.43,1879,96,26838,29,江西省
13439,请叫我果哥,920282,42545.38,5446,18,25778,1796,江西省
13440,景德镇简家陶瓷工坊,87425,42509.97,790,216,17819,601,江西省
13441,何氏茶台工厂直销,49887,42498.09,542,39,18730,38,江西省
13442,杨小咩（三只羊）,1271,42458.9,548,66,941,4,江西省
13443,马天奴旗舰店,92150,42455.0,34,64,8019,53,江西省
13444,马天奴旗舰店,92150,42448.0,44,63,9747,59,江西省
13445,薇薇安大牌折扣清仓号,6510,42433.65,229,4,25712,224,江西省
13446,四祥斋,82876,42409.0,70,230,8440,131,江西省
13447,VANS,125988,42320.0,110,52,20393,99,江西省
13448,江中猴姑官方旗舰店,56842,42119.9,489,19,14696,50,江西省
13449,盟哥寻匠记,49654,42100.0,6,10,4993,167,江西省
13450,别具一阁,12630,42095.04,387,289,9404,107,江西省
13451,杨小咩（三只羊）,1271,42002.61,938,64,781,5,江西省
13452,3C数码清仓,2125,41958.36,332,103,1624,13,江西省
13453,四祥斋,82876,41913.0,38,176,7676,147,江西省
13454,汐丹优选,30260,41886.0,234,1,47999,985,江西省
13455,暖春的黎明,9568,41862.58,2483,60,269677,1856,江西省
13456,丢丢大姑姑（南昌一家人）,221650,41817.96,1529,58,76445,612,江西省
13457,纽西之谜官方直播间,142545,41799.07,333,18,11793,32,江西省
13458,考拉,17364,41675.7,1685,80,4180,372,江西省
13459,景德镇·尧一窑,30201,41656.9,214,125,9028,143,江西省
13460,海世船说,2665759,41655.89,1062,12,100875,4167,江西省
13461,骏惠Studio（男生饰品）,202070,41655.2,1298,103,13750,51,江西省
13462,小巧屋服装,1085706,41560.0,394,28,72804,236,江西省
13463,秀迪时尚假发,411098,41537.8,198,16,34104,125,江西省
13464,景德镇辉隆陶瓷有限公司,321995,41449.75,1059,124,44559,994,江西省
13465,林家铺子（仨朵花）,997172,41308.76,1649,60,58859,1574,江西省
13466,青杉家具,4768,41237.95,22,5,6140,17,江西省
13467,景德镇简家陶瓷工坊,87425,41229.83,732,182,12136,427,江西省
13468,跑起来有光🌞,21108,41198.25,1690,55,25902,3539,江西省
13469,梵卡曼服饰,171594,41176.0,67,62,15238,72,江西省
13470,依一品服装（每天早上9：30开播）,267156,41089.9,102,39,22622,161,江西省
13471,金麦子食品供应仓,23327,41063.27,8160,150,62852,218,江西省
13472,星悦女装👚甩货,1245,40739.02,1526,245,102501,1572,江西省
13473,贝汉美家居旗舰店,148230,40603.14,506,156,15859,162,江西省
13474,牛奶奶,115830,40530.23,1494,81,38986,716,江西省
13475,浔阳小胖,75238,40457.03,333,82,5722,73,江西省
13476,依一品服装（每天早上9：30开播）,267156,40366.4,111,34,17761,137,江西省
13477,秀迪时尚假发,411098,40346.5,160,16,31187,98,江西省
13478,艾慕家具,6466,40336.77,52,34,6206,72,江西省
13479,仁和官方授权号,26902,40331.72,365,28,11663,49,江西省
13480,链宠优选,1969996,40311.83,3527,52,124239,1686,江西省
13481,静宇阁收藏馆,62969,40224.44,455,168,28959,1846,江西省
13482,占少说瓷,157757,40213.0,23,80,13809,212,江西省
13483,宁宁姐,30004,40128.57,1198,86,16554,312,江西省
13484,万汇百货,10884,40049.55,1015,20,21863,241,江西省
13485,歌姿伊穿搭,80283,40008.0,286,20,47301,38,江西省
13486,贝汉美官方旗舰店,324398,39948.48,333,136,16877,97,江西省
13487,小巧屋服装,1085706,39944.0,424,27,57343,202,江西省
13488,广州娜娜子( 每晚9点直播),64750,39865.2,658,42,36833,214,江西省
13489,景德镇双云陶瓷工厂,73993,39820.9,637,54,25545,1772,江西省
13490,方姐食品,1113878,39799.05,1651,41,74450,1224,江西省
13491,木宣茶台家具,24035,39775.43,16,19,8117,109,江西省
13492,欢喜时尚妈妈装,12747,39704.0,244,33,12892,105,江西省
13493,贝肽斯官方旗舰店,44804,39601.85,490,40,8075,49,江西省
13494,南康区铭权家具销售中心,5024,39556.33,88,23,13033,118,江西省
13495,宜点家居,319236,39525.13,566,91,38505,1032,江西省
13496,江中猴姑官方旗舰店,56842,39487.2,439,19,16104,70,江西省
13497,景德镇-九观金品,79268,39463.8,14,36,4794,203,江西省
13498,江西俊梦家具有限公司,8638,39387.3,160,23,4967,112,江西省
13499,斐乐FILA 江西5G形象店,31748,39352.0,92,64,9438,41,江西省
13500,江中猴姑官方旗舰店,56842,39340.1,449,19,12883,85,江西省
13501,壹号瓷王,10512,39284.23,830,91,27373,847,江西省
13502,依一品服装（每天早上9：30开播）,267156,39230.0,118,32,16324,137,江西省
13503,贝汉美家居旗舰店,148230,39216.86,395,186,15486,185,江西省
13504,沐语桐岩板餐桌,15098,39168.33,76,8,22869,49,江西省
13505,艺祺兴3C数码,5880,39119.69,86,48,5865,59,江西省
13506,香妹子农特产商行,80766,39086.12,1420,67,52238,138,江西省
13507,奢慕二奢心选,24470,38981.0,17,110,5107,84,江西省
13508,伊口奶,27022,38960.06,1201,101,24264,223,江西省
13509,江中猴姑官方旗舰店,56842,38947.8,415,18,13054,69,江西省
13510,于都赣南小妹儿农家店,1094081,38911.19,1123,39,19475,56,江西省
13511,美丽姐《搜色》品牌服饰,50938,38742.56,438,43,9693,381,江西省
13512,南康区瑞兆家具,2561,38646.43,13,60,162,6,江西省
13513,木-布衣,59612,38621.0,79,108,13804,41,江西省
13514,四祥斋,82876,38613.0,31,96,5005,116,江西省
13515,恒捷（南昌一家人）,4488705,38515.01,861,47,51569,880,江西省
13516,仁和官方授权号,26902,38464.54,356,28,11819,51,江西省
13517,小巧屋服装,1085706,38398.0,318,32,43948,117,江西省
13518,景德镇·瓷画楼,154314,38274.8,76,195,11084,84,江西省
13519,皮皮（教做菜）,28377576,38245.84,1952,77,53016,109,江西省
13520,花似伊(有点二的伊伊),19590,38226.0,147,17,27518,159,江西省
13521,灵魂重启（手把手带新手月嫂上户）,341635,38202.43,619,44,7028,319,江西省
13522,义季服装店,137412,38165.11,249,19,21523,70,江西省
13523,乾雅堂老瓷仓,90334,38130.2,153,121,16584,262,江西省
13524,汐丹优选,30260,38127.0,213,2,38790,664,江西省
13525,唐册茶台茶桌家具,17793,38083.9,10,12,4247,16,江西省
13526,依一品服装（每天早上9：30开播）,267156,38079.0,71,35,18943,141,江西省
13527,景德镇·盛合窑,20036,38039.9,12,26,3390,68,江西省
13528,景德镇画小二·窑口探案,28564,38030.0,10,40,5353,79,江西省
13529,别具一阁,12630,38020.19,399,222,11752,116,江西省
13530,雅格家具,29891,38011.1,28,21,5733,57,江西省
13531,依一品服装（每天早上9：30开播）,267156,37844.3,60,33,17254,111,江西省
13532,兰.雪,158308,37814.03,817,48,46717,682,江西省
13533,瓷泡泡,257180,37756.28,114,115,10532,96,江西省
13534,香妹子农特产商行,80766,37730.5,1473,68,46284,187,江西省
13535,薇薇安大牌折扣清仓号,6510,37727.2,163,3,25706,161,江西省
13536,唐册茶台茶桌家具,17793,37646.01,12,12,4382,13,江西省
13537,杭州玉儿有限公司,211753,37591.87,1229,17,65153,1895,江西省
13538,卿·奢芳裳,16321,37535.63,1162,114,79924,1660,江西省
13539,小沃童品,23702,37329.3,707,44,25250,640,江西省
13540,吴先森服饰,24888,37252.9,729,63,21268,119,江西省
13541,美的智能小家电直播间,79850,37226.8,1960,23,62048,483,江西省
13542,MAXRIENY-玛克茜妮  专柜,49832,37125.7,133,106,10745,39,江西省
13543,万户家具,16929,36997.27,31,39,23705,131,江西省
13544,鱼某人,106229,36996.96,71,134,9030,131,江西省
13545,乐巢优品家具,28190,36941.87,49,74,5150,58,江西省
13546,南康区诺贝家具营销中心,22846,36931.54,60,25,5998,22,江西省
13547,MAXRIENY-玛克茜妮  专柜,49832,36902.9,158,102,12446,63,江西省
13548,恒捷（南昌一家人）,4488705,36753.82,602,31,43601,1679,江西省
13549,民丰瓷业,67239,36697.84,3040,38,28504,1361,江西省
13550,正德御窑,44574,36670.0,40,116,11717,146,江西省
13551,景德镇市鼎众陶瓷有限公司,331347,36660.27,403,100,23150,130,江西省
13552,新建区阳光牛仔服装店,208164,36647.05,491,71,31519,474,江西省
13553,经济技术开发区乐其服装店,7643,36622.8,618,13,91336,107,江西省
13554,江西老酒文化传播有限公司,20382,36495.6,59,22,6840,34,江西省
13555,家有翻菜男,1419868,36491.82,1453,71,60689,2960,江西省
13556,考拉,17364,36475.38,1605,74,5138,370,江西省
13557,真珍🎀,115953,36457.71,550,100,27315,1765,江西省
13558,景德镇·瓷画楼,154314,36441.7,119,84,10813,244,江西省
13559,家有翻菜男,1419868,36321.34,1647,53,76221,2899,江西省
13560,瓷泡泡,257180,36208.0,164,125,11238,89,江西省
13561,家有翻菜男,1419868,36162.69,1287,63,61633,2839,江西省
13562,四祥斋,82876,36076.0,47,244,6490,76,江西省
13563,皮皮（教做菜）,28377576,36075.28,1896,67,52826,93,江西省
13564,VANS,125988,36073.0,97,59,18181,82,江西省
13565,柴房陶瓷,23491,36058.3,133,88,11045,415,江西省
13566,欢喜时尚妈妈装,12747,35974.0,226,26,11748,63,江西省
13567,温工说装修🏅,264160,35860.28,154,40,4120,109,江西省
13568,景德镇启励陶瓷有限公司,94885,35811.92,2293,244,16409,462,江西省
13569,景德镇·瓷画楼,154314,35801.8,28,99,14659,248,江西省
13570,于都赣南小妹儿农家店,1094081,35720.32,1045,35,19659,38,江西省
13571,南昌沪祺数码,24403,35710.44,47,46,3645,49,江西省
13572,米宝儿童装,41229,35690.8,1665,84,64770,265,江西省
13573,昨明陶瓷设计,60389,35649.32,454,190,13067,166,江西省
13574,机械公爵手表旗舰店,20712,35539.0,16,9,7727,30,江西省
13575,民丰瓷业,67239,35535.51,2083,31,33242,1717,江西省
13576,南昌拌粉,14078,35508.41,1060,103,8310,13,江西省
13577,躺着看未来,96202,35486.15,1039,90,18209,52,江西省
13578,家有翻菜男,1419868,35471.94,1643,74,85448,3029,江西省
13579,蓝灵儿大牌折扣女装,16630,35451.67,112,6,14109,113,江西省
13580,菲尔服装,133666,35451.56,221,15,25616,33,江西省
13581,米宝儿童装,41229,35418.2,1596,84,56817,798,江西省
13582,盟哥寻匠记,49654,35410.0,12,16,4755,181,江西省
13583,方姐食品,1113878,35392.88,1296,41,66736,1291,江西省
13584,皮皮（教做菜）,28377576,35298.29,1787,73,51459,104,江西省
13585,稻草人女装官方旗舰店,289945,35199.7,543,13,55405,421,江西省
13586,景德镇双云陶瓷工厂,73993,35176.5,665,36,27944,835,江西省
13587,可可家居,215805,35144.11,1505,102,8959,28,江西省
13588,骏惠Studio（男生饰品）,202070,35118.28,1155,101,11939,42,江西省
13589,喜二家家具,339473,35101.03,43,26,23704,69,江西省
13590,Yp·服饰,224550,35055.5,147,31,16093,191,江西省
13591,依馨蓉服饰店,203169,35029.4,476,49,78760,130,江西省
13592,方姐食品,1113878,34970.98,1346,39,48745,810,江西省
13593,lisanv,13159,34970.68,1579,139,50307,1407,江西省
13594,徐徐💗,5005,34899.09,3011,42,2074,175,江西省
13595,唐册茶台茶桌家具,17793,34857.2,11,12,4456,13,江西省
13596,仁和草本养发专场,249821,34667.43,167,2,18435,142,江西省
13597,鱼某人,106229,34646.35,134,169,6070,145,江西省
13598,盘珑柴窑,9960,34603.67,942,106,18289,1180,江西省
13599,双图名品严选家具,24196,34531.59,151,55,7773,95,江西省
13600,黎川Zz1988女装店（直播号）,95325,34504.3,457,38,29163,465,江西省
13601,秀迪时尚假发,411098,34498.0,140,16,27464,101,江西省
13602,仁和草本养发专场,249821,34481.28,157,3,13329,133,江西省
13603,青儿小屋服装店,541571,34474.6,346,37,41055,261,江西省
13604,黄大叔夫妇,260623,34270.17,1616,72,42408,502,江西省
13605,梦梦ZHUI MU.,127014,34180.5,175,27,28560,140,江西省
13606,皮皮（教做菜）,28377576,34135.21,1478,74,54126,83,江西省
13607,林家铺子（仨朵花）,997172,34039.23,1588,66,43128,1755,江西省
13608,唐册茶台茶桌家具,17793,33983.28,11,12,4600,11,江西省
13609,贝肽斯官方旗舰店,44804,33969.92,535,42,6005,41,江西省
13610,归宇商贸行（喜欢商品橱窗购买）,286722,33922.39,274,8,119233,84,江西省
13611,依一品服装（每天早上9：30开播）,267156,33913.4,72,32,24100,134,江西省
13612,鸭鸭妈妈装官方旗舰店,47289,33901.0,216,89,13082,97,江西省
13613,温工说装修🏅,264160,33883.28,230,39,5281,93,江西省
13614,花似伊(有点二的伊伊),19590,33795.0,129,17,24143,193,江西省
13615,雅格家具,29891,33768.26,37,23,5044,63,江西省
13616,钱瑶陶瓷文化,23083,33729.0,95,148,4764,71,江西省
13617,贝汉美家居旗舰店,148230,33725.53,455,177,15223,191,江西省
13618,莲塘高粱酒业,174029,33718.45,107,17,19626,648,江西省
13619,乾雅堂老瓷仓,90334,33709.45,231,153,20786,161,江西省
13620,mesmooth官方旗舰店,17675,33686.0,82,9,10763,43,江西省
13621,Yp·服饰,224550,33609.9,97,27,8103,95,江西省
13622,立夏园艺,2303811,33547.36,1661,100,7260,46,江西省
13623,景德镇启励陶瓷有限公司,94885,33436.65,2133,212,17563,1140,江西省
13624,盘珑柴窑,9960,33409.81,784,93,18717,815,江西省
13625,吴哥装机,2076941,33391.0,9,25,7730,72,江西省
13626,567杂货铺2号店,1888,33366.0,27,80,2729,73,江西省
13627,丢丢大姑姑（南昌一家人）,221650,33358.24,734,84,32889,808,江西省
13628,景德镇旭凡陶瓷有限公司,39469,33334.8,82,64,10788,72,江西省
13629,雅格家具,29891,33330.06,29,20,3089,50,江西省
13630,青履陶瓷,20518,33300.0,7,30,4982,85,江西省
13631,杨小咩（三只羊）,1271,33278.56,668,56,734,7,江西省
13632,南康区铭权家具销售中心,5024,33251.67,54,19,10216,120,江西省
13633,真珍🎀,115953,33249.43,473,101,33346,3001,江西省
13634,景德镇·瓷画楼,154314,33181.7,20,110,6438,42,江西省
13635,尚美家具(早上6点直播),6381,33160.63,22,8,15599,154,江西省
13636,家有翻菜男,1419868,33132.46,1515,65,54865,2753,江西省
13637,美的智能小家电直播间,79850,33115.4,956,21,37364,140,江西省
13638,橙子名品2号店,12467,33054.96,621,1,23286,213,江西省
13639,家有翻菜男,1419868,32989.16,1395,64,49902,2551,江西省
13640,依一品服装（每天早上9：30开播）,267156,32904.9,70,33,19084,133,江西省
13641,灵魂重启（手把手带新手月嫂上户）,341635,32835.99,371,42,7545,305,江西省
13642,景德鎮苏藝堂陶瓷文化,16557,32796.0,201,99,3504,76,江西省
13643,钱瑶陶瓷文化,23083,32775.6,86,138,5703,89,江西省
13644,景德镇三石陶瓷,89687,32688.9,115,24,34239,2073,江西省
13645,愚杏堂工作室,3435,32656.0,80,116,4032,73,江西省
13646,杭州四季青青女装批发,6679,32626.2,338,9,142245,1971,江西省
13647,请叫我果哥,920282,32597.49,3813,18,26785,1292,江西省
13648,甄芯女装,8469,32556.4,406,97,2956,20,江西省
13649,昨明陶瓷设计,60389,32510.6,300,248,9313,140,江西省
13650,可可家居,215805,32471.6,1576,100,9345,25,江西省
13651,雅格家具,29891,32407.74,33,20,8760,75,江西省
13652,景德镇辉隆陶瓷有限公司,321995,32343.94,872,124,35605,892,江西省
13653,景德镇·瓷画楼,154314,32292.4,57,147,7254,62,江西省
13654,义季服装店,137412,32242.8,202,18,14832,56,江西省
13655,汐丹优选,30260,32139.77,176,1,45070,975,江西省
13656,瓷韵小生手工陶瓷,27975,32127.89,112,119,12145,165,江西省
13657,四祥斋,82876,32115.0,46,224,6437,85,江西省
13658,九鸣瓷艺中心,24501,32094.0,14,45,5085,54,江西省
13659,罗小仙🏠,43479,32078.63,899,104,25850,1239,江西省
13660,考证的小白,3486,31946.0,1902,166,32463,123,江西省
13661,江中猴姑官方旗舰店,56842,31942.1,375,20,13888,51,江西省
13662,香妹子农特产商行,80766,31926.73,1280,66,43190,127,江西省
13663,兰兰  瑜伽瑙力法,478721,31907.65,685,38,26516,715,江西省
13664,贝汉美家居旗舰店,148230,31873.23,446,163,13718,173,江西省
13665,肸韛虩輕奢定制女装,1939,31791.7,253,22,20477,123,江西省
13666,马天奴旗舰店,92150,31782.0,30,34,8150,63,江西省
13667,伊口奶,27022,31771.45,1267,99,27295,1254,江西省
13668,米宝儿童装,41229,31766.7,1481,84,59549,224,江西省
13669,愚杏堂工作室,3435,31745.0,80,107,4044,79,江西省
13670,灵魂重启（手把手带新手月嫂上户）,341635,31680.95,441,40,6727,262,江西省
13671,景德镇简家陶瓷工坊,87425,31673.96,613,200,12863,568,江西省
13672,仁和草本养发专场,249821,31504.21,145,4,13145,140,江西省
13673,知鹭定制y,48587,31489.09,177,16,18294,147,江西省
13674,皮皮（教做菜）,28377576,31484.89,1546,73,52785,111,江西省
13675,瓷都大缸,48207,31484.63,342,67,18133,863,江西省
13676,青杉家具,4768,31419.47,15,5,2287,15,江西省
13677,皮皮（教做菜）,28377576,31368.35,1583,71,46107,124,江西省
13678,景德镇巷子里花盆,51228,31352.83,888,290,17423,195,江西省
13679,MAXRIENY-玛克茜妮  专柜,49832,31325.7,63,119,13549,42,江西省
13680,景德镇大展陶瓷有限公司,245107,31250.9,375,76,16811,217,江西省
13681,依一品服装（每天早上9：30开播）,267156,31168.0,73,36,23149,162,江西省
13682,昨明陶瓷设计,60389,31156.94,448,214,17274,179,江西省
13683,园子酱陶瓷工作室,15591,31145.0,119,271,7933,87,江西省
13684,小鱼原创复古箱包,71147,31132.7,290,31,23401,236,江西省
13685,木-布衣,59612,31057.0,65,107,10921,54,江西省
13686,胖乎乎的水禾,7261,31051.02,633,6,32505,456,江西省
13687,南康区朵木家具,2602,30980.92,25,20,8116,34,江西省
13688,跑起来有光🌞,21108,30963.66,1662,36,34525,3599,江西省
13689,颖颖女装（春夏新款）,28304,30961.22,1011,10,89893,127,江西省
13690,微昊家居,7137,30899.0,413,71,19420,198,江西省
13691,考证的小白,3486,30877.25,2260,165,91649,181,江西省
13692,卡神的三国,57465,30872.93,526,74,12307,1567,江西省
13693,九鸣瓷艺中心,24501,30863.0,50,59,3000,93,江西省
13694,景德镇·瓷画楼,154314,30711.0,36,56,7823,198,江西省
13695,昊峰陶瓷（胖）,18536,30707.5,68,55,6192,395,江西省
13696,随缘而聚.老曹,192673,30668.71,1457,46,20867,212,江西省
13697,皮皮（教做菜）,28377576,30637.34,1310,78,53975,96,江西省
13698,江西俊梦家具有限公司,8638,30629.27,53,21,4350,41,江西省
13699,蕾蒂茉精品男装,20685,30554.6,506,29,24042,350,江西省
13700,馒头妈妈辅食教程分享,157292,30550.91,767,107,6970,117,江西省
13701,奢慕二奢心选,24470,30481.0,21,114,6809,98,江西省
13702,鸭鸭妈妈装官方旗舰店,47289,30444.0,193,92,10276,70,江西省
13703,稻草人女装官方旗舰店,289945,30416.5,471,16,47785,210,江西省
13704,四个孩子的妈咪,691194,30415.83,773,92,2829,30,江西省
13705,仁和直播间,17399,30382.68,217,14,4552,42,江西省
13706,小李不吃🐷（每晚20点带练）,329175,30359.33,444,44,18160,817,江西省
13707,仁和草本养发专场,249821,30337.29,149,3,16423,167,江西省
13708,衣人衣款大码女装工厂,328839,30331.62,704,13,34812,424,江西省
13709,景德镇大展陶瓷有限公司,245107,30312.3,401,80,15325,227,江西省
13710,大古家具严选,6559,30310.0,7,73,7454,74,江西省
13711,吉水美媚女装,257862,30298.6,377,33,72515,152,江西省
13712,南康区爵亿家具营销中心,4409,30289.86,51,20,5430,19,江西省
13713,杨小咩（三只羊）,1271,30247.36,530,63,3006,8,江西省
13714,广州娜娜子( 每晚9点直播),64750,30214.7,476,41,31049,222,江西省
13715,雅格家具,29891,30186.83,19,20,4480,58,江西省
13716,小巧屋服装,1085706,30156.0,381,24,43989,198,江西省
13717,Yp·服饰,224550,30113.7,79,27,6107,100,江西省
13718,知鹭定制y,48587,30066.57,206,14,51550,653,江西省
13719,广州娜娜子( 每晚9点直播),64750,29993.1,479,22,27316,151,江西省
13720,小巧屋服装,1085706,29991.0,322,33,38928,127,江西省
13721,青也百货,70578,29980.71,684,49,30322,88,江西省
13722,新華书社,539911,29971.18,2018,319,23124,244,江西省
13723,井冈山农家特产,200256,29959.55,510,2,11966,52,江西省
13724,景德镇巷子里花盆,51228,29945.85,919,298,20690,217,江西省
13725,稻草人女装官方旗舰店,289945,29927.2,444,13,41767,208,江西省
13726,依馨蓉服饰店,203169,29908.5,415,59,62439,155,江西省
13727,缤纷好物优选,41488,29885.05,1495,3,15841,49,江西省
13728,景德镇画小二·窑口探案,28564,29835.0,17,49,5067,92,江西省
13729,江西、揭小姐【志萍】,67030,29829.75,1138,65,65980,712,江西省
13730,大古家具严选,6559,29763.23,9,74,6669,61,江西省
13731,吉水美媚女装,257862,29709.0,353,35,66596,156,江西省
13732,瓷都大缸,48207,29667.04,288,83,15992,700,江西省
13733,盘珑柴窑,9960,29582.79,1092,81,18154,1273,江西省
13734,景德镇世诺•御瓷,122294,29581.61,996,46,18677,567,江西省
13735,请叫我果哥,920282,29565.48,2435,16,20615,931,江西省
13736,尚美家具(早上6点直播),6381,29565.43,18,8,13191,65,江西省
13737,胡言乱语,10111,29479.59,218,23,1903,20,江西省
13738,牛奶奶,115830,29459.78,1048,96,42105,885,江西省
13739,鸭鸭妈妈装官方旗舰店,47289,29299.0,186,89,12533,92,江西省
13740,跑起来有光🌞,21108,29269.55,1121,54,26143,3653,江西省
13741,园子酱陶瓷工作室,15591,29225.0,204,340,6913,104,江西省
13742,派派妈妈🌈,205251,29187.45,1251,106,7584,31,江西省
13743,佳诺严选,3171376,29166.76,1400,113,14404,18,江西省
13744,美的智能小家电直播间,79850,29162.93,642,21,31821,220,江西省
13745,MAXRIENY-玛克茜妮  专柜,49832,29096.4,74,113,12774,45,江西省
13746,景德镇三石陶瓷,89687,29061.9,285,54,48605,1974,江西省
13747,吴先森服饰,24888,29061.5,580,64,15995,94,江西省
13748,南昌市円潮区服饰贸易有限公司,20563,29042.56,1475,71,18492,57,江西省
13749,景德镇·盛合窑,20036,29018.8,4,5,4739,115,江西省
13750,兵哥老表特产,63336,28940.17,346,15,12002,50,江西省
13751,小梨子家纺,2017,28889.57,185,14,10708,191,江西省
13752,衣人衣款大码女装工厂,328839,28835.09,702,14,40241,216,江西省
13753,乾雅堂老瓷仓,90334,28750.7,204,116,12531,211,江西省
13754,丢丢大姑姑（南昌一家人）,221650,28737.67,734,91,19091,291,江西省
13755,纽西之谜官方直播间,142545,28706.58,237,16,9946,45,江西省
13756,景德镇简家陶瓷工坊,87425,28694.59,671,155,11521,498,江西省
13757,何氏茶台工厂直销,49887,28685.5,265,37,12933,28,江西省
13758,丢丢大姑姑（南昌一家人）,221650,28654.23,804,52,46583,684,江西省
13759,꧁༺遇见༻꧂好物优选百货,4533,28652.2,1033,100,9539,732,江西省
13760,景德镇大展陶瓷有限公司,245107,28649.7,381,85,12068,249,江西省
13761,丽巢家居官方旗舰店,130715,28647.58,439,54,16284,90,江西省
13762,南康区爵亿家具营销中心,4409,28646.97,35,22,4243,12,江西省
13763,仁和直播间,17399,28612.9,193,14,5271,47,江西省
13764,景德镇·尧一窑,30201,28537.2,230,134,8143,103,江西省
13765,Yp轻奢女装,19238,28532.8,91,19,8587,144,江西省
13766,佳诺严选,3171376,28517.04,1345,108,15048,51,江西省
13767,美的智能小家电直播间,79850,28469.81,672,20,21313,172,江西省
13768,盟哥寻匠记,49654,28430.0,5,13,5476,191,江西省
13769,木-布衣,59612,28415.0,66,104,9145,51,江西省
13770,景德镇大展陶瓷有限公司,245107,28338.9,369,91,18095,508,江西省
13771,霖歌家具销售部,3021,28275.0,3,37,1536,17,江西省
13772,喜二家家具,339473,28273.53,35,38,17805,45,江西省
13773,宜点家居,319236,28267.28,252,95,16438,178,江西省
13774,国货鞋的故事,1113,28208.64,351,86,2718,38,江西省
13775,文韵陶瓷旗舰店,1376928,28173.57,742,36,38350,799,江西省
13776,飞哥文化,23794,28132.74,143,53,12723,229,江西省
13777,秋画堂柴窑,23028,28128.79,335,93,17106,1113,江西省
13778,南康区乐哈哈家具销售中心,442403,28109.65,49,100,13904,86,江西省
13779,薇薇安大牌折扣清仓号,6510,28079.46,139,4,31653,175,江西省
13780,南昌拌粉,14078,28060.25,941,108,8418,38,江西省
13781,南方姑娘HAO,344001,28055.92,1084,53,36599,721,江西省
13782,景德镇辉隆陶瓷有限公司,321995,28046.3,723,128,29871,710,江西省
13783,大德瓷业,49006,27978.39,1364,174,27454,1508,江西省
13784,飞哥文化,23794,27953.85,158,50,8831,188,江西省
13785,皮皮（教做菜）,28377576,27851.59,1310,52,62130,112,江西省
13786,专注足部,13116,27790.95,385,2,14158,564,江西省
13787,皮皮（教做菜）,28377576,27751.12,1199,75,51258,85,江西省
13788,薇薇安大牌折扣清仓号,6510,27738.38,147,4,18875,135,江西省
13789,景德镇画小二·窑口探案,28564,27716.0,15,91,4365,41,江西省
13790,轻奢家具名优美家,79552,27692.0,11,98,3405,55,江西省
13791,九鸣瓷艺中心,24501,27667.0,40,91,4299,166,江西省
13792,贝汉美官方旗舰店,324398,27643.13,210,177,15093,117,江西省
13793,小鹏讲故事,59648,27641.22,1176,84,1963,206,江西省
13794,飞哥文化,23794,27603.97,133,48,12608,199,江西省
13795,千姑娘美包,302282,27553.6,1905,33,72867,3398,江西省
13796,景德镇市鼎众陶瓷有限公司,331347,27524.74,318,53,13594,172,江西省
13797,希希美搭,139387,27499.33,161,1,57472,93,江西省
13798,南方姑娘HAO,344001,27496.73,933,52,32263,793,江西省
