,达人,粉丝数,销售额,销售量,商品数,观看人次,人次峰值,地区
152,古恒堂书画院,33278,250881.94,82,78,57676,1755,北京市
153,水井坊官方旗舰店,23557,250868.0,214,19,21957,163,北京市
154,交个朋友数码电器,99761,249610.8,3675,38,237532,2786,北京市
155,参小妹心选,318572,249564.0,282,8,44708,367,北京市
156,FanBeautySecret,50805,249017.4,706,29,29528,75,北京市
157,泡泡玛特官方旗舰店,162403,247985.43,863,53,106053,660,北京市
158,浒城古娘原创中国风设计品牌旗舰店,2592876,246317.0,565,81,60010,589,北京市
159,猜礼物,644161,244667.04,478,63,21820,171,北京市
160,大鑫文玩回血,43852,243575.0,260,236,66988,997,北京市
161,崇云数码官方旗舰店,117518,243162.4,91,36,34495,71,北京市
162,京东超市,1360035,241361.5,2875,90,135823,169,北京市
163,主持人周洲,5036674,240707.65,3122,57,133622,1292,北京市
164,陶然reset,1176983,240318.0,487,20,14253,357,北京市
165,至家HOMMEY种草官,67942,239467.23,6933,60,167846,2984,北京市
166,包文婧,4413775,239071.83,7703,87,328804,11240,北京市
167,崇云数码官方旗舰店,117518,238036.66,80,36,30402,81,北京市
168,京东家纺直营店,29525,236601.36,3715,48,270374,1506,北京市
169,朗姿官方旗舰店,336140,235996.4,194,62,24546,78,北京市
170,小仙炖鲜炖燕窝,275165,233739.4,121,14,13528,46,北京市
171,大鑫文玩回血,43852,231564.0,197,220,67557,1560,北京市
172,yy的小喜欢,62286,231155.22,584,31,51656,662,北京市
173,北大花花老师,1458396,227218.2,1101,4,65986,1476,北京市
174,古恒堂书画院,33278,225830.5,78,44,60888,2079,北京市
175,大力智能学习灯直播&学习机,491887,225432.0,254,6,25600,74,北京市
176,美臀黄建,564572,225212.68,2347,31,134656,12328,北京市
177,大力智能学习灯直播&学习机,491887,225076.0,242,6,29056,93,北京市
178,小仙炖鲜炖燕窝,275165,223585.76,128,14,25853,72,北京市
179,五个女博士,15327,223162.0,322,10,15728,107,北京市
180,京东超市,1360035,222915.1,6670,63,349130,1978,北京市
181,大鑫文玩回血,43852,222412.0,181,232,66123,1029,北京市
182,姿美堂旗舰店,223158,221757.0,543,5,29005,130,北京市
183,英语雪梨老师(早8:00直播),6796780,221580.0,610,3,68757,1728,北京市
184,徐亮,1067475,221165.23,5367,101,92737,3883,北京市
185,幽炫女装,753733,220798.3,2921,43,166541,2523,北京市
186,点睛之作,17464,219277.56,535,64,20508,445,北京市
187,北大花花老师,1458396,218636.4,981,4,62264,1579,北京市
188,隆娱文化,228004,218259.94,5177,19,383195,15019,北京市
189,小水,34771,218252.65,1243,56,32688,869,北京市
190,参小妹心选,318572,214771.14,263,9,51510,446,北京市
191,桂先学姐（北大姐妹花）早6点直播家庭教育,5217058,214525.8,293,4,130359,7326,北京市
192,参小妹心选,318572,214195.0,245,8,83692,479,北京市
193,爱慕官方旗舰店,541936,213653.33,903,28,43769,413,北京市
194,陶然reset,1176983,211434.0,533,26,15890,484,北京市
195,喵喵机家族,193649,210456.84,356,11,23096,362,北京市
196,幽炫女装,753733,208620.0,1910,29,108645,1517,北京市
197,参小妹心选,318572,208465.86,274,8,34368,101,北京市
198,爱穿搭的伙夫,137941,205211.84,1756,54,40636,708,北京市
199,大华在北漂,1386385,203202.96,6687,91,194884,5308,北京市
200,联合利华官方旗舰店,229320,202322.6,1774,13,60922,89,北京市
201,爱乐仕旗舰店,273781,200451.0,1494,34,74999,842,北京市
202,红布林包多多,18560,200424.0,135,104,41901,1103,北京市
203,桃姐电子产品,84962,198082.55,179,30,45376,197,北京市
204,大鑫文玩回血,43852,198036.0,227,259,74781,1569,北京市
205,水井坊官方旗舰店,23557,197725.0,168,19,23560,166,北京市
206,古恒堂书画院,33278,197592.65,88,98,85474,1840,北京市
207,朗姿股份有限公司,90524,197225.0,183,73,21770,91,北京市
208,京东家纺直营店,29525,197219.68,2471,46,114979,201,北京市
209,崇云数码官方旗舰店,117518,195730.78,71,36,29633,69,北京市
210,TCH潮牌,167557,194845.0,281,94,38133,166,北京市
211,申怡读书,2931139,194686.6,297,8,38958,1059,北京市
212,桂先学姐（北大姐妹花）早6点直播家庭教育,5217058,194578.65,400,4,112603,6498,北京市
213,当当官方账号,1396808,194490.27,2600,66,113484,1134,北京市
214,华熙生物,1393191,193454.6,646,20,40657,159,北京市
215,桂堂东品牌假发,704208,193450.05,265,16,38270,211,北京市
216,红布林沐子（17:00开播）,49903,193201.9,92,130,18809,218,北京市
217,英语雪梨老师(早8:00直播),6796780,193138.0,531,3,55271,1321,北京市
218,大力智能学习灯直播&学习机,491887,193046.0,217,6,25027,92,北京市
219,巴拉巴拉男童店,41021,192999.0,3270,82,182658,555,北京市
220,Redmi红米直播间（每天8点开播）,98997,192463.2,210,88,35690,663,北京市
221,西财箱包工厂,144491,192222.8,8634,12,13517,211,北京市
222,万亩园红酒行,60410,191181.0,495,15,37138,290,北京市
223,幽炫女装,753733,190993.7,1400,36,67435,1004,北京市
224,泡泡玛特官方旗舰店,162403,190656.93,933,54,107764,789,北京市
225,李享,836512,190495.2,1554,30,53541,1117,北京市
226,北大花花老师,1458396,190115.3,812,4,59540,1268,北京市
227,麻六记,448884,189172.54,5160,34,353358,1278,北京市
228,盛唐二奢白菜村,84798,188920.8,80,67,19671,524,北京市
229,胖虎佳姐天后团-周一至周四19点直播,79498,188496.0,35,72,10548,130,北京市
230,FanBeautySecret,50805,188403.3,540,28,23369,57,北京市
231,泡泡玛特官方旗舰店,162403,188112.32,877,58,114738,1033,北京市
232,心相印旗舰店,140597,187974.5,3753,24,179042,566,北京市
233,学魁图书,915044,187715.99,655,4,86596,205,北京市
234,京东家纺直营店,29525,187513.39,2465,46,130395,186,北京市
235,英语雪梨老师(早8:00直播),6796780,187170.0,515,3,57920,1511,北京市
236,摩托罗拉手机,265776,186082.11,116,16,64875,1089,北京市
237,红布林沐子（17:00开播）,49903,185854.55,281,130,19389,223,北京市
238,心相印旗舰店,140597,184490.7,3694,23,196546,581,北京市
239,赵子龙好好活,249989,184453.84,6209,100,352185,11928,北京市
240,桂堂东品牌假发,704208,184425.68,272,15,41035,504,北京市
241,喵喵机家族,193649,184073.92,316,11,21049,206,北京市
242,阳光皮皮兔,105034,183667.1,802,11,17598,1205,北京市
243,美臀黄建,564572,183002.81,1740,33,105259,7430,北京市
244,徐亮,1067475,182574.37,5053,82,53200,1375,北京市
245,ARSIS官方旗舰店,146014,181321.0,812,57,31069,135,北京市
246,Redmi红米直播间（每天8点开播）,98997,181005.9,153,87,40148,219,北京市
247,麻六记,448884,180640.53,4220,37,429389,1730,北京市
248,京东电脑数码,200304,179007.3,552,100,54124,592,北京市
249,团油加油券,160004,178747.05,863,11,48935,617,北京市
250,FanBeautySecret,50805,178533.8,542,28,19649,47,北京市
251,水孩儿童装官方旗舰店,169176,177392.0,1239,66,76235,117,北京市
252,luckin coffee 瑞幸咖啡,481154,177295.5,4471,19,152373,899,北京市
253,古恒堂书画院,33278,176371.27,62,132,60339,1884,北京市
254,桃姐电子产品,84962,174867.69,50,27,35758,207,北京市
255,五个女博士,15327,173991.7,257,9,44479,208,北京市
256,桂堂东品牌假发,704208,173090.33,217,16,40034,197,北京市
257,石头科技,268031,173019.6,76,6,18283,83,北京市
258,京东超市,1360035,172790.9,3071,116,143329,1060,北京市
259,申怡读书,2931139,172031.2,274,8,51909,1216,北京市
260,石彦文讲财税,410509,171821.0,116,5,18775,1575,北京市
261,幽炫女装,753733,171408.6,1266,52,69444,815,北京市
262,姿美堂旗舰店,223158,170676.0,424,4,21024,149,北京市
263,中茶官方旗舰店,385667,170449.89,316,50,58982,126,北京市
264,泡泡玛特官方旗舰店,162403,170184.61,789,47,98491,643,北京市
265,盛唐二奢白菜村,84798,168158.0,43,66,9003,233,北京市
266,FanBeautySecret,50805,167653.3,462,28,19220,63,北京市
267,红布林包多多,18560,166982.0,118,106,70869,2069,北京市
268,Redmi红米直播间（每天8点开播）,98997,166616.24,110,93,28557,151,北京市
269,幽炫女装,753733,166375.0,1280,32,88485,1190,北京市
270,窦昕@豆神天蝎星,1179477,165822.13,288,14,19071,242,北京市
271,朝奉柏香·辉子,52987,165255.83,1180,76,32483,931,北京市
272,红布林包多多,18560,165240.0,117,95,72140,2221,北京市
273,包文婧,4413775,163897.19,7082,63,342992,10649,北京市
